Model,Train Accuracy,Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP,Repeat,Fold,Train Size,Test Size,Train Legitimate,Train Phishing,Test Legitimate,Test Phishing
XGBoost,0.9017423593259069,0.8934707903780069,0.5374201787994891,0.9039812646370023,0.9859514687100894,0.08888888888888889,0.9431887599266952,0.9683893627696939,0.15596683309149698,0.8732084574996453,0.9837628453480549,8,82,11,772,2,5,3501,873,439,3062,90,783
Multilayer Perceptron,0.8926021136818052,0.8980526918671249,0.5301404853128991,0.9025522041763341,0.9936143039591315,0.06666666666666667,0.9458966565349544,0.9739609414121182,0.16433588078888428,0.8875337022846603,0.9854350487576455,6,84,5,778,2,5,3501,873,439,3062,90,783
SVM,0.8877463581833762,0.8980526918671249,0.5350574712643679,0.9034883720930232,0.9923371647509579,0.07777777777777778,0.945830797321972,0.9731963927855711,0.17603207826732306,0.7146516248048814,0.9622898627791143,7,83,6,777,2,5,3501,873,439,3062,90,783
Decision Tree,0.8947368421052632,0.8784838350055741,0.5489219120558735,0.8798185941043084,0.9961489088575096,0.1016949152542373,0.9343768813967489,0.9704852426213106,0.2579070587429453,0.8367365810143382,0.9617055924151119,12,106,3,776,3,1,3477,897,411,3066,118,779
Random Forest,0.8889847569744033,0.8729096989966555,0.5205445921542178,0.8731762065095399,0.9987163029525032,0.0423728813559322,0.9317365269461078,0.9708010980783629,0.170381632514399,0.8830693413981421,0.9809326172312347,5,113,1,778,3,1,3477,897,411,3066,118,779
XGBoost,0.906528616623526,0.875139353400223,0.572164443767542,0.8855491329479769,0.9833119383825417,0.16101694915254236,0.9318734793187348,0.9620698317005777,0.2630146586312479,0.8647657796827746,0.9778765419665105,19,99,13,766,3,1,3477,897,411,3066,118,779
Multilayer Perceptron,0.8973252804141502,0.8784838350055741,0.5597082308914079,0.882420091324201,0.9922978177150192,0.1271186440677966,0.9341389728096676,0.968186372745491,0.26693912420475346,0.8754922651813495,0.9795626258281146,15,103,6,773,3,1,3477,897,411,3066,118,779
SVM,0.8927236123094622,0.8784838350055741,0.5525173516677183,0.8806818181818182,0.9948652118100129,0.11016949152542373,0.9342977697408077,0.9697197197197197,0.2603614903590929,0.8187702617436522,0.9699851640156871,13,105,4,775,3,1,3477,897,411,3066,118,779
Decision Tree,0.8960481099656358,0.8752834467120182,0.5800281587318141,0.8763127187864644,0.9947019867549669,0.16535433070866143,0.9317617866004962,0.9685323703894764,0.33860061417741266,0.87619544245711,0.9698735823664251,21,106,4,751,3,2,3492,882,402,3090,127,755
Random Forest,0.8883161512027491,0.8616780045351474,0.5196850393700787,0.8608893956670467,1.0,0.03937007874015748,0.9252450980392157,0.9686938670772389,0.184101285421852,0.8932992647442248,0.9807831075235678,5,122,0,755,3,2,3492,882,402,3090,127,755
XGBoost,0.9066437571592211,0.8764172335600907,0.6036137039161495,0.8827014218009479,0.9867549668874173,0.2204724409448819,0.9318323952470294,0.9640269151138716,0.35831047870914196,0.8788235907597642,0.9781837423998507,28,99,10,745,3,2,3492,882,402,3090,127,755
Multilayer Perceptron,0.9006300114547537,0.8820861678004536,0.6101997184126818,0.8842975206611571,0.9920529801324504,0.2283464566929134,0.9350811485642946,0.9684509956038273,0.3963784995949587,0.8889711633727904,0.9802346689998402,29,98,6,749,3,2,3492,882,402,3090,127,755
SVM,0.8943298969072165,0.8718820861678005,0.5780414037649267,0.8758782201405152,0.990728476821192,0.16535433070866143,0.9297700435052828,0.9654104284976768,0.3125521232871716,0.8298065390832768,0.9686550690010578,21,106,7,748,3,2,3492,882,402,3090,127,755
Decision Tree,0.8810408921933085,0.9030786773090079,0.5372378730268464,0.9064665127020786,0.9949302915082383,0.07954545454545454,0.9486404833836858,0.9758826454500249,0.2010663580316369,0.8633771171793986,0.9780558162806613,7,81,4,785,3,3,3497,877,441,3056,88,789
Random Forest,0.8761795824992851,0.9007981755986317,0.5107299228021661,0.9016018306636155,0.9987325728770595,0.022727272727272728,0.9476849067949489,0.9776674937965261,0.11043076661199892,0.8825757575757576,0.9857849038978066,2,86,1,788,3,3,3497,877,441,3056,88,789
XGBoost,0.9002001715756363,0.8962371721778791,0.5940128471022007,0.9174641148325359,0.9721166032953105,0.2159090909090909,0.944,0.9606713426853707,0.2676097740824452,0.8806026039866344,0.9856821068311118,19,69,22,767,3,3,3497,877,441,3056,88,789
