Threshold,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,False Positive Rate,F1,F2,MCC,TN,FP,FN,TP,Model,Threshold Selection,Repeat,Fold,Selected Threshold,Test Size,Test Legitimate,Test Phishing
0.97,0.677382319173364,0.7951340542141905,0.9902723735408561,0.6484076433121019,0.9418604651162791,0.05813953488372093,0.783679753656659,0.6964969896004378,0.35802858806670323,81,5,276,509,XGBoost — URL-Only Features,Validation-selected threshold,2,3,0.97,871,86,785
0.5,0.8539976825028969,0.5552995391705069,0.8759124087591241,0.967741935483871,0.14285714285714285,0.8571428571428571,0.9195402298850575,0.9478672985781991,0.17926009374448504,17,102,24,720,XGBoost — Full 16 Features,Default threshold,2,4,0.45,863,119,744
0.45,0.8621089223638471,0.5494149272612271,0.874251497005988,0.9811827956989247,0.11764705882352941,0.8823529411764706,0.9246358454718177,0.9577538703752296,0.19232062032947086,14,105,14,730,XGBoost — Full 16 Features,Validation-selected threshold,2,4,0.45,863,119,744
0.5,0.8586326767091541,0.5015135086292581,0.8624708624708625,0.9946236559139785,0.008403361344537815,0.9915966386554622,0.9238451935081149,0.9650495565988524,0.013751377343877214,1,118,4,740,XGBoost — URL-Only Features,Default threshold,2,4,0.79,863,119,744
0.79,0.7497103128621089,0.7630681304779976,0.9551724137931035,0.7446236559139785,0.7815126050420168,0.2184873949579832,0.8368580060422961,0.7789651293588301,0.38641232306397133,93,26,190,554,XGBoost — URL-Only Features,Validation-selected threshold,2,4,0.79,863,119,744
0.5,0.895152198421646,0.6145400694491727,0.8981264637002342,0.9922380336351876,0.23684210526315788,0.7631578947368421,0.942839582052858,0.9718702483527623,0.40508270847763395,27,87,6,767,XGBoost — Full 16 Features,Default threshold,2,5,0.91,887,114,773
0.91,0.7519729425028185,0.7679580581466603,0.9600665557404326,0.7464424320827943,0.7894736842105263,0.21052631578947367,0.8398835516739447,0.7812076902247496,0.38372380085537067,90,24,196,577,XGBoost — Full 16 Features,Validation-selected threshold,2,5,0.91,887,114,773
0.5,0.8703494926719278,0.5030923038514786,0.8721719457013575,0.9974126778783958,0.008771929824561403,0.9912280701754386,0.9305974652987327,0.9695674044265593,0.03565065962526262,1,113,2,771,XGBoost — URL-Only Features,Default threshold,2,5,0.92,887,114,773
0.92,0.6922209695603156,0.8084587276729989,0.9921259842519685,0.6520051746442432,0.9649122807017544,0.03508771929824561,0.7868852459016393,0.7,0.4173666755270146,110,4,269,504,XGBoost — URL-Only Features,Validation-selected threshold,2,5,0.92,887,114,773
0.5,0.8978185993111366,0.5967304690708947,0.9114832535885168,0.9806949806949807,0.2127659574468085,0.7872340425531915,0.9448233106013639,0.966024340770791,0.3056543386041975,20,74,15,762,XGBoost — Full 16 Features,Default threshold,3,1,0.62,871,94,777
0.62,0.8633754305396096,0.6662627673265971,0.9283854166666666,0.9176319176319176,0.4148936170212766,0.5851063829787234,0.9229773462783172,0.9197626418988648,0.31952159410822767,39,55,64,713,XGBoost — Full 16 Features,Validation-selected threshold,3,1,0.62,871,94,777
0.5,0.8851894374282434,0.49613899613899615,0.8913294797687862,0.9922779922779923,0.0,1.0,0.9390986601705238,0.9702995217719608,-0.028968165222879233,0,94,6,771,XGBoost — URL-Only Features,Default threshold,3,1,0.87,871,94,777
0.87,0.6842709529276694,0.8043347298666448,0.9921568627450981,0.6512226512226512,0.9574468085106383,0.0425531914893617,0.7863247863247863,0.699281370923162,0.38336923529596695,90,4,271,506,XGBoost — URL-Only Features,Validation-selected threshold,3,1,0.87,871,94,777
0.5,0.8834841628959276,0.5632124609972279,0.8969555035128806,0.9807938540332907,0.14563106796116504,0.8543689320388349,0.9370030581039756,0.9627953745600805,0.22402024142225588,15,88,15,766,XGBoost — Full 16 Features,Default threshold,3,2,0.81,884,103,781
0.81,0.7794117647058824,0.7655917854878609,0.9592476489028213,0.7836107554417413,0.7475728155339806,0.2524271844660194,0.8625792811839323,0.8133971291866029,0.38028646688984724,77,26,169,612,XGBoost — Full 16 Features,Validation-selected threshold,3,2,0.81,884,103,781
