Model,Threshold Selection,Repeat,Fold,Prevalence,Recall,Specificity,False Positive Rate,Expected TP per 1M URLs,Expected FP per 1M URLs,Expected FN per 1M URLs,Expected TN per 1M URLs,Expected Alerts per 1M URLs,Projected Precision
XGBoost — Full 16 Features,Default threshold,1,4,0.5,0.9892617449664429,0.11926605504587157,0.8807339449541285,494630.87248322146,440366.97247706424,5369.127516778538,59633.02752293579,934997.8449602857,0.52901819522828
XGBoost — Full 16 Features,Default threshold,1,4,0.1,0.9892617449664429,0.11926605504587157,0.8807339449541285,98926.1744966443,792660.5504587156,1073.8255033557075,107339.44954128441,891586.7249553599,0.11095519003111821
XGBoost — Full 16 Features,Default threshold,1,4,0.05,0.9892617449664429,0.11926605504587157,0.8807339449541285,49463.08724832215,836697.2477064221,536.9127516778537,113302.75229357799,886160.3349547442,0.05581731126664364
XGBoost — Full 16 Features,Default threshold,1,4,0.01,0.9892617449664429,0.11926605504587157,0.8807339449541285,9892.617449664429,871926.6055045872,107.38255033557076,118073.39449541285,881819.2229542516,0.011218418914165192
XGBoost — Full 16 Features,Default threshold,1,4,0.005,0.9892617449664429,0.11926605504587157,0.8807339449541285,4946.3087248322145,876330.2752293579,53.69127516778538,118669.7247706422,881276.5839541901,0.005612663282892048
XGBoost — Full 16 Features,Default threshold,1,4,0.001,0.9892617449664429,0.11926605504587157,0.8807339449541285,989.261744966443,879853.2110091744,10.738255033557076,119146.78899082569,880842.4727541409,0.0011230858814894635
XGBoost — Full 16 Features,Validation-selected threshold,1,4,0.5,0.9959731543624161,0.08256880733944955,0.9174311926605505,497986.577181208,458715.59633027524,2013.4228187919657,41284.40366972477,956702.1735114832,0.5205241411268005
XGBoost — Full 16 Features,Validation-selected threshold,1,4,0.1,0.9959731543624161,0.08256880733944955,0.9174311926605505,99597.31543624161,825688.0733944954,402.6845637583931,74311.92660550459,925285.388830737,0.10763956357519118
XGBoost — Full 16 Features,Validation-selected threshold,1,4,0.05,0.9959731543624161,0.08256880733944955,0.9174311926605505,49798.657718120805,871559.6330275229,201.34228187919655,78440.36697247707,921358.2907456438,0.05404917741372835
XGBoost — Full 16 Features,Validation-selected threshold,1,4,0.01,0.9959731543624161,0.08256880733944955,0.9174311926605505,9959.73154362416,908256.880733945,40.268456375839314,81743.11926605504,918216.6122775692,0.010846821338725046
XGBoost — Full 16 Features,Validation-selected threshold,1,4,0.005,0.9959731543624161,0.08256880733944955,0.9174311926605505,4979.86577181208,912844.0366972478,20.134228187919657,82155.9633027523,917823.9024690598,0.0054257311870127
XGBoost — Full 16 Features,Validation-selected threshold,1,4,0.001,0.9959731543624161,0.08256880733944955,0.9174311926605505,995.973154362416,916513.76146789,4.026845637583931,82486.2385321101,917509.7346222524,0.0010855178062742492
XGBoost — URL-Only Features,Default threshold,1,4,0.5,0.9986577181208054,0.0,1.0,499328.85906040267,500000.0,671.1409395973034,0.0,999328.8590604027,0.4996642041638683
XGBoost — URL-Only Features,Default threshold,1,4,0.1,0.9986577181208054,0.0,1.0,99865.77181208054,900000.0,134.22818791946068,0.0,999865.7718120805,0.09987917841320983
XGBoost — URL-Only Features,Default threshold,1,4,0.05,0.9986577181208054,0.0,1.0,49932.88590604027,950000.0,67.11409395973034,0.0,999932.8859060403,0.04993623733136452
XGBoost — URL-Only Features,Default threshold,1,4,0.01,0.9986577181208054,0.0,1.0,9986.577181208055,990000.0,13.422818791946067,0.0,999986.5771812081,0.009986711231023236
XGBoost — URL-Only Features,Default threshold,1,4,0.005,0.9986577181208054,0.0,1.0,4993.288590604027,995000.0,6.711409395973034,0.0,999993.288590604,0.004993322102832906
XGBoost — URL-Only Features,Default threshold,1,4,0.001,0.9986577181208054,0.0,1.0,998.6577181208054,999000.0,1.3422818791946067,0.0,999998.6577181208,0.000998659058602763
XGBoost — URL-Only Features,Validation-selected threshold,1,4,0.5,0.6496644295302013,0.9541284403669725,0.04587155963302747,324832.2147651007,22935.779816513736,175167.78523489935,477064.2201834863,347767.9945816144,0.9340486181193677
XGBoost — URL-Only Features,Validation-selected threshold,1,4,0.1,0.6496644295302013,0.9541284403669725,0.04587155963302747,64966.44295302013,41284.40366972472,35033.55704697987,858715.5963302753,106250.84662274485,0.611444002735249
XGBoost — URL-Only Features,Validation-selected threshold,1,4,0.05,0.6496644295302013,0.9541284403669725,0.04587155963302747,32483.221476510065,43577.981651376096,17516.778523489935,906422.0183486239,76061.20312788617,0.4270668900923657
XGBoost — URL-Only Features,Validation-selected threshold,1,4,0.01,0.6496644295302013,0.9541284403669725,0.04587155963302747,6496.644295302013,45412.84403669719,3503.3557046979868,944587.1559633028,51909.48833199921,0.1251533101954543
XGBoost — URL-Only Features,Validation-selected threshold,1,4,0.005,0.6496644295302013,0.9541284403669725,0.04587155963302747,3248.3221476510066,45642.20183486233,1751.6778523489934,949357.7981651376,48890.52398251334,0.06644073090345345
XGBoost — URL-Only Features,Validation-selected threshold,1,4,0.001,0.6496644295302013,0.9541284403669725,0.04587155963302747,649.6644295302013,45825.68807339444,350.3355704697987,953174.3119266055,46475.352502924645,0.013978687509456085
XGBoost — Full 16 Features,Default threshold,1,5,0.5,0.9869451697127938,0.14285714285714285,0.8571428571428572,493472.5848563969,428571.4285714286,6527.415143603111,71428.57142857142,922044.0134278254,0.5351941747572816
XGBoost — Full 16 Features,Default threshold,1,5,0.1,0.9869451697127938,0.14285714285714285,0.8571428571428572,98694.51697127937,771428.5714285715,1305.483028720622,128571.42857142857,870123.0883998509,0.11342592592592592
XGBoost — Full 16 Features,Default threshold,1,5,0.05,0.9869451697127938,0.14285714285714285,0.8571428571428572,49347.258485639686,814285.7142857143,652.741514360311,135714.2857142857,863632.972771354,0.05713915522155998
XGBoost — Full 16 Features,Default threshold,1,5,0.01,0.9869451697127938,0.14285714285714285,0.8571428571428572,9869.451697127937,848571.4285714286,130.5483028720622,141428.57142857142,858440.8802685565,0.011496949788831534
XGBoost — Full 16 Features,Default threshold,1,5,0.005,0.9869451697127938,0.14285714285714285,0.8571428571428572,4934.725848563969,852857.142857143,65.2741514360311,142142.85714285713,857791.8687057069,0.00575282423230452
XGBoost — Full 16 Features,Default threshold,1,5,0.001,0.9869451697127938,0.14285714285714285,0.8571428571428572,986.9451697127938,856285.7142857143,13.05483028720622,142714.2857142857,857272.6594554271,0.0011512616888304122
XGBoost — Full 16 Features,Validation-selected threshold,1,5,0.5,0.7806788511749347,0.6938775510204082,0.30612244897959184,390339.4255874674,153061.22448979592,109660.57441253263,346938.7755102041,543400.6500772634,0.7183271229652872
XGBoost — Full 16 Features,Validation-selected threshold,1,5,0.1,0.7806788511749347,0.6938775510204082,0.30612244897959184,78067.88511749347,275510.20408163266,21932.114882506525,624489.7959183673,353578.0891991261,0.22079389957200554
