Model,Threshold Selection,Repeat,Fold,Prevalence,Recall,Specificity,False Positive Rate,Expected TP per 1M URLs,Expected FP per 1M URLs,Expected FN per 1M URLs,Expected TN per 1M URLs,Expected Alerts per 1M URLs,Projected Precision
XGBoost — Full 16 Features,Validation-selected threshold,1,5,0.05,0.7806788511749347,0.6938775510204082,0.30612244897959184,39033.942558746734,290816.32653061225,10966.057441253262,659183.6734693877,329850.269089359,0.11833836809201492
XGBoost — Full 16 Features,Validation-selected threshold,1,5,0.01,0.7806788511749347,0.6938775510204082,0.30612244897959184,7806.788511749347,303061.2244897959,2193.2114882506526,686938.775510204,310868.0130015453,0.025112871653702566
XGBoost — Full 16 Features,Validation-selected threshold,1,5,0.005,0.7806788511749347,0.6938775510204082,0.30612244897959184,3903.3942558746735,304591.8367346939,1096.6057441253263,690408.1632653062,308495.2309905686,0.012653013284325323
XGBoost — Full 16 Features,Validation-selected threshold,1,5,0.001,0.7806788511749347,0.6938775510204082,0.30612244897959184,780.6788511749347,305816.32653061225,219.32114882506525,693183.6734693877,306597.0053817872,0.0025462703075093684
XGBoost — URL-Only Features,Default threshold,1,5,0.5,0.9986945169712794,0.0,1.0,499347.2584856397,500000.0,652.7415143602889,0.0,999347.2584856397,0.4996734160679295
XGBoost — URL-Only Features,Default threshold,1,5,0.1,0.9986945169712794,0.0,1.0,99869.45169712794,900000.0,130.54830287205777,0.0,999869.4516971279,0.09988249118683902
XGBoost — URL-Only Features,Default threshold,1,5,0.05,0.9986945169712794,0.0,1.0,49934.72584856397,950000.0,65.27415143602889,0.0,999934.725848564,0.049937985508192444
XGBoost — URL-Only Features,Default threshold,1,5,0.01,0.9986945169712794,0.0,1.0,9986.945169712793,990000.0,13.054830287205776,0.0,999986.9451697128,0.009987075549289156
XGBoost — URL-Only Features,Default threshold,1,5,0.005,0.9986945169712794,0.0,1.0,4993.472584856397,995000.0,6.527415143602888,0.0,999993.4725848564,0.004993505179537725
XGBoost — URL-Only Features,Default threshold,1,5,0.001,0.9986945169712794,0.0,1.0,998.6945169712794,999000.0,1.3054830287205776,0.0,999998.6945169712,0.0009986958207517244
XGBoost — URL-Only Features,Validation-selected threshold,1,5,0.5,0.6892950391644909,0.7755102040816326,0.22448979591836737,344647.51958224544,112244.89795918368,155352.48041775456,387755.10204081633,456892.4175414291,0.7543296985246953
XGBoost — URL-Only Features,Validation-selected threshold,1,5,0.1,0.6892950391644909,0.7755102040816326,0.22448979591836737,68929.50391644909,202040.81632653065,31070.496083550912,697959.1836734693,270970.32024297974,0.254380272550292
XGBoost — URL-Only Features,Validation-selected threshold,1,5,0.05,0.6892950391644909,0.7755102040816326,0.22448979591836737,34464.751958224544,213265.306122449,15535.248041775456,736734.693877551,247730.05808067354,0.13912220513427184
XGBoost — URL-Only Features,Validation-selected threshold,1,5,0.01,0.6892950391644909,0.7755102040816326,0.22448979591836737,6892.950391644908,222244.8979591837,3107.0496083550916,767755.1020408163,229137.8483508286,0.030082111887038597
XGBoost — URL-Only Features,Validation-selected threshold,1,5,0.005,0.6892950391644909,0.7755102040816326,0.22448979591836737,3446.475195822454,223367.34693877553,1553.5248041775458,771632.6530612245,226813.82213459798,0.015195172690036564
XGBoost — URL-Only Features,Validation-selected threshold,1,5,0.001,0.6892950391644909,0.7755102040816326,0.22448979591836737,689.2950391644908,224265.306122449,310.70496083550916,774734.693877551,224954.60116161348,0.003064151769313145
XGBoost — Full 16 Features,Default threshold,2,1,0.5,0.9844155844155844,0.20408163265306123,0.7959183673469388,492207.7922077922,397959.1836734694,7792.207792207795,102040.81632653062,890166.9758812616,0.5529387244685285
XGBoost — Full 16 Features,Default threshold,2,1,0.1,0.9844155844155844,0.20408163265306123,0.7959183673469388,98441.55844155845,716326.5306122449,1558.441558441559,183673.46938775512,814768.0890538034,0.12082156844885691
XGBoost — Full 16 Features,Default threshold,2,1,0.05,0.9844155844155844,0.20408163265306123,0.7959183673469388,49220.77922077922,756122.4489795918,779.2207792207795,193877.55102040817,805343.228200371,0.06111776631035754
XGBoost — Full 16 Features,Default threshold,2,1,0.01,0.9844155844155844,0.20408163265306123,0.7959183673469388,9844.155844155845,787959.1836734693,155.8441558441559,202040.81632653062,797803.3395176252,0.012339075755320734
XGBoost — Full 16 Features,Default threshold,2,1,0.005,0.9844155844155844,0.20408163265306123,0.7959183673469388,4922.077922077922,791938.775510204,77.92207792207795,203061.22448979592,796860.853432282,0.006176834890153385
XGBoost — Full 16 Features,Default threshold,2,1,0.001,0.9844155844155844,0.20408163265306123,0.7959183673469388,984.4155844155844,795122.4489795918,15.58441558441559,203877.55102040817,796106.8645640074,0.0012365369879767402
XGBoost — Full 16 Features,Validation-selected threshold,2,1,0.5,0.6922077922077922,0.8775510204081632,0.12244897959183676,346103.8961038961,61224.48979591838,153896.10389610392,438775.5102040816,407328.3858998145,0.8496925529492142
XGBoost — Full 16 Features,Validation-selected threshold,2,1,0.1,0.6922077922077922,0.8775510204081632,0.12244897959183676,69220.77922077922,110204.08163265308,30779.220779220785,789795.9183673469,179424.8608534323,0.3857925757419088
