Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP,Feature Subset,Number of Features,Repeat,Fold,Train Size,Test Size,Train Legitimate,Train Phishing,Test Legitimate,Test Phishing
0.8681564245810056,0.5874232826159888,0.8744186046511628,0.9868766404199475,0.18796992481203006,0.9272503082614056,0.962128966223132,0.32083161955041717,0.8692350956130483,0.9754529626060676,25,108,10,752,Full 16-Feature Set,16,2,3,3479,895,396,3083,133,762
0.8832369942196532,0.5042960447877248,0.884125144843569,0.9986910994764397,0.009900990099009901,0.9379225568531039,0.9734626180147997,0.057449435616710204,0.8448175314913691,0.9762953632982794,1,100,1,763,Address-Bar Features Only,8,2,4,3509,865,428,3081,101,764
0.8832369942196532,0.5,0.8832369942196532,1.0,0.0,0.937998772252916,0.9742412649834226,0.0,0.6856565237675599,0.9276633654398424,0,101,0,764,Domain Features Only,4,2,4,3509,865,428,3081,101,764
0.8890173410404625,0.5677129231247732,0.8976190476190476,0.9869109947643979,0.1485148514851485,0.940149625935162,0.9676591375770021,0.25959676545308275,0.5992431703903376,0.9049203043498522,15,86,10,754,HTML/JavaScript Features Only,4,2,4,3509,865,428,3081,101,764
0.8832369942196532,0.5042960447877248,0.884125144843569,0.9986910994764397,0.009900990099009901,0.9379225568531039,0.9734626180147997,0.057449435616710204,0.8448175314913691,0.9762953632982794,1,100,1,763,URL-Only Features,8,2,4,3509,865,428,3081,101,764
0.8901734104046243,0.5726634181742781,0.8986889153754469,0.9869109947643979,0.15841584158415842,0.940736119775421,0.9679075738125802,0.27332888591565313,0.8768143175574101,0.9821970648339218,16,85,10,754,Full 16-Feature Set,16,2,4,3509,865,428,3081,101,764
0.8807870370370371,0.5011855917301646,0.8868144690781797,0.9921671018276762,0.01020408163265306,0.9365372766481824,0.9691405253761796,0.008387898155220194,0.8436284435445198,0.9769634590004023,1,97,6,760,Address-Bar Features Only,8,2,5,3510,864,431,3079,98,766
0.8865740740740741,0.5,0.8865740740740741,1.0,0.0,0.939877300613497,0.975050916496945,0.0,0.6451750412958918,0.9243696987675947,0,98,0,766,Domain Features Only,4,2,5,3510,864,431,3079,98,766
0.8819444444444444,0.5240848297543561,0.8915094339622641,0.9869451697127938,0.061224489795918366,0.9368029739776952,0.9662576687116564,0.11330343635486903,0.5597191879362711,0.8989090471896906,6,92,10,756,HTML/JavaScript Features Only,4,2,5,3510,864,431,3079,98,766
0.8807870370370371,0.5011855917301646,0.8868144690781797,0.9921671018276762,0.01020408163265306,0.9365372766481824,0.9691405253761796,0.008387898155220194,0.8436284435445198,0.9769634590004023,1,97,6,760,URL-Only Features,8,2,5,3510,864,431,3079,98,766
0.8807870370370371,0.5456785847498268,0.8960573476702509,0.97911227154047,0.11224489795918367,0.9357454772301934,0.9612919764163035,0.16650429744243994,0.8804750359673896,0.983890823637575,11,87,16,750,Full 16-Feature Set,16,2,5,3510,864,431,3079,98,766
0.8888888888888888,0.5079556217020701,0.8927335640138409,0.9948586118251928,0.021052631578947368,0.941033434650456,0.972606182457904,0.05997504005258903,0.8581247463130834,0.9795305985649332,2,93,4,774,Address-Bar Features Only,8,3,1,3501,873,434,3067,95,778
0.8911798396334479,0.5,0.8911798396334479,1.0,0.0,0.9424591156874621,0.9761606022584692,0.0,0.608774184819375,0.9223982063069253,0,95,0,778,Domain Features Only,4,3,1,3501,873,434,3067,95,778
0.8957617411225659,0.5672574753078068,0.9045936395759717,0.987146529562982,0.14736842105263157,0.9440688383527965,0.9694521585458218,0.2561903055638932,0.5835813827628196,0.907972523714893,14,81,10,768,HTML/JavaScript Features Only,4,3,1,3501,873,434,3067,95,778
0.8888888888888888,0.5079556217020701,0.8927335640138409,0.9948586118251928,0.021052631578947368,0.941033434650456,0.972606182457904,0.05997504005258903,0.8581247463130834,0.9795305985649332,2,93,4,774,URL-Only Features,8,3,1,3501,873,434,3067,95,778
0.8762886597938144,0.5840549316736572,0.9085365853658537,0.9575835475578406,0.21052631578947367,0.932415519399249,0.9473550356052899,0.2192299754745694,0.8669395210391017,0.9827981408753235,20,75,33,745,Full 16-Feature Set,16,3,1,3501,873,434,3067,95,778
0.8765432098765432,0.49808673469387754,0.8795045045045045,0.9961734693877551,0.0,0.9342105263157895,0.970427435387674,-0.021472766522996768,0.852463999618539,0.9764415345015687,0,107,3,781,Address-Bar Features Only,8,3,2,3483,891,422,3061,107,784
